DATE,KCFSI
2014-12-01,-0.329113836107487
2015-01-01,-0.00983531175325494
2015-02-01,-0.269201224930639
2015-03-01,-0.301954442877749
2015-04-01,-0.531162897577883
2015-05-01,-0.698334097175395
2015-06-01,-0.472251342795393
2015-07-01,-0.292514210698074
2015-08-01,-0.112125890051557
2015-09-01,0.0652563143886774
2015-10-01,0.00989863968786713
2015-11-01,-0.224813012792369
2015-12-01,0.0928216773968621
2016-01-01,0.595642311598563
2016-02-01,0.575933301756288
2016-03-01,0.126067698845954
2016-04-01,0.0780796366837347
2016-05-01,-0.0792789933851542
2016-06-01,0.01387797438331
2016-07-01,-0.122263736351749
2016-08-01,-0.0577198305966513
2016-09-01,-0.233775579164062
2016-10-01,-0.371033361999084
2016-11-01,0.0447406100216812
2016-12-01,-0.263466441264568
