DATE,SPASTT01DEM657N
2015-03-01,6.89747359978613
2015-04-01,1.35586559245431
2015-05-01,-3.86160950333108
2015-06-01,-3.71239481548025
2015-07-01,0.635923993755
2015-08-01,-3.51710307249887
2015-09-01,-7.24748514618507
2015-10-01,2.44180884125071
2015-11-01,6.72775301304276
2015-12-01,-2.21401500502746
2016-01-01,-7.32435585612306
2016-02-01,-5.72471035056651
2016-03-01,5.87995654535579
2016-04-01,1.48133897652945
2016-05-01,-1.32069510268564
2016-06-01,-1.91897199453551
2016-07-01,0.935820148425428
2016-08-01,5.45074279307445
2016-09-01,-0.0163575766250248
2016-10-01,0.940714534039555
2016-11-01,-1.01298648676028
2016-12-01,5.37055608997322
2017-01-01,3.66722995940407
2017-02-01,1.07923778831199
2017-03-01,2.33933304910375
