DATE,SPASTT01BRM657N
2015-11-01,-0.620006627926372
2015-12-01,-5.34255760799821
2016-01-01,-11.3360099501393
2016-02-01,3.7196773411469
2016-03-01,20.0352186390877
2016-04-01,5.57275799818722
2016-05-01,-1.90666568598644
2016-06-01,-1.54126447990126
2016-07-01,9.6902868867329
2016-08-01,5.39076802509831
2016-09-01,0.886319168022984
2016-10-01,6.67659793409126
2016-11-01,-1.28214228773373
2016-12-01,-3.94702691489677
2017-01-01,7.54051332452687
2017-02-01,4.44365351737316
2017-03-01,-2.16347329254372
2017-04-01,-1.04108534916112
2017-05-01,1.20936192576714
2017-06-01,-4.78663058062908
2017-07-01,4.01902727890496
2017-08-01,6.66698189112974
2017-09-01,7.9345493242549
2017-10-01,2.52669727273487
2017-11-01,-3.7731133349803
2017-12-01,0.752910218281721
