DATE,SPASTT01CNM657N
2015-01-01,9.81678229435386
2015-02-01,-2.64115060676766
2015-03-01,8.81748930312836
2015-04-01,19.7374180561611
2015-05-01,7.07201897793666
2015-06-01,7.09470925957934
2015-07-01,-19.5514026584785
2015-08-01,-6.60643321157233
2015-09-01,-12.8853035475347
2015-10-01,4.65425943900781
2015-11-01,8.68432826574068
2015-12-01,-0.425363192998304
2016-01-01,-15.1212167700119
2016-02-01,-7.1798192527906
2016-03-01,4.11187448500897
2016-04-01,3.32361163207344
2016-05-01,-4.72018617874383
2016-06-01,1.33759209674833
2016-07-01,3.96842573223558
2016-08-01,1.09841846700719
2016-09-01,-0.544619200982567
2016-10-01,1.09530198687288
2016-11-01,4.20265209260312
2016-12-01,-1.24155261358498
2017-01-01,-0.566790278724421
2017-02-01,2.17581264734919
