DATE,GEPUPPP
2015-07-01,128.8757647607774
2015-08-01,130.49195781780392
2015-09-01,178.1447567390075
2015-10-01,125.8363119490261
2015-11-01,100.61882413671785
2015-12-01,117.16064164719195
2016-01-01,147.52591988775654
2016-02-01,155.21086281715748
2016-03-01,169.57548284879272
2016-04-01,147.80857302488036
2016-05-01,130.2163399722176
2016-06-01,235.4530272253464
2016-07-01,226.77464345323452
2016-08-01,146.47441697955057
2016-09-01,153.96154640765235
2016-10-01,131.4691753598175
2016-11-01,240.91022322767546
2016-12-01,231.0763160133701
2017-01-01,274.5711869367929
2017-02-01,207.08021552624356
2017-03-01,245.10909415591516
2017-04-01,180.53783126463708
2017-05-01,166.28685386823147
2017-06-01,170.86062795143573
2017-07-01,148.15621756662503
2017-08-01,140.35324494725012
