DATE,SPASTT01KRM657N
2015-02-01,2.09918000780946
2015-03-01,2.62866700321763
2015-04-01,4.70282517315739
2015-05-01,0.499224114612732
2015-06-01,-2.55454979011138
2015-07-01,-0.274265999253761
2015-08-01,-5.05386218859785
2015-09-01,-0.723636400855654
2015-10-01,4.15695816236056
2015-11-01,-0.680022964385407
2015-12-01,-1.73711119305555
2016-01-01,-3.75725181548946
2016-02-01,0.275577896861139
2016-03-01,3.72242598761994
2016-04-01,1.09225391357211
2016-05-01,-1.39667044190312
2016-06-01,0.500104188372586
2016-07-01,1.26679579049573
2016-08-01,1.7368463105749
2016-09-01,-0.0294513218735024
2016-10-01,-0.0132569992045673
2016-11-01,-2.68317954812194
2016-12-01,2.02497792355243
2017-01-01,2.06936118859674
2017-02-01,0.924059465431347
2017-03-01,2.47024423969771
