DATE,SPASTT01RUM657N
2015-11-01,4.58990573356215
2015-12-01,-1.98408684804963
2016-01-01,-2.09992260727491
2016-02-01,3.86597334457639
2016-03-01,5.71673413239822
2016-04-01,2.08624422709771
2016-05-01,-0.27739178585982
2016-06-01,-0.6139500772676
2016-07-01,1.2913563458305
2016-08-01,2.19749912838952
2016-09-01,2.11205930874358
2016-10-01,-1.40019147917665
2016-11-01,2.86088522069832
2016-12-01,7.94324288446504
2017-01-01,0.608064714482889
2017-02-01,-2.68104525452275
2017-03-01,-5.77357858598264
2017-04-01,-2.21425715005108
2017-05-01,-0.105015499883885
2017-06-01,-5.74806174124879
2017-07-01,3.71236292463201
2017-08-01,1.57852829252152
2017-09-01,4.19268964323707
2017-10-01,1.5862392402466
2017-11-01,2.72908701820192
2017-12-01,-0.843085853384497
