DATE,SPASTT01GBM657N
2015-01-01,0.983130410614992
2015-02-01,4.01763233704076
2015-03-01,0.0869371798916382
2015-04-01,1.62117565375025
2015-05-01,-0.169379598977717
2015-06-01,-2.87932740286387
2015-07-01,-2.01336543238632
2015-08-01,-3.01733216983121
2015-09-01,-5.56480325160369
2015-10-01,4.16388767507648
2015-11-01,-0.534789719294556
2015-12-01,-2.16524758597726
2016-01-01,-3.76721542086822
2016-02-01,-0.945622098085344
2016-03-01,4.61343071948097
2016-04-01,1.9307372393383
2016-05-01,-1.5736883140489
2016-06-01,0.0341800592562481
2016-07-01,7.782132042168
2016-08-01,2.5020019922264
2016-09-01,-0.126788227016896
2016-10-01,2.89781691432765
2016-11-01,-2.96482770424465
2016-12-01,2.46114770266915
2017-01-01,3.40665378430215
2017-02-01,0.446433526075727
