DATE,SPASTT01EZM657N
2015-01-01,2.10489508306251
2015-02-01,7.99864238035976
2015-03-01,5.85217524249581
2015-04-01,2.4353254589806
2015-05-01,-2.48918342354761
2015-06-01,-2.53103544306509
2015-07-01,0.637376645640565
2015-08-01,-2.62290069667387
2015-09-01,-7.23597156185522
2015-10-01,3.41258352397906
2015-11-01,4.68547715417098
2015-12-01,-3.41105137095287
2016-01-01,-6.96071375928832
2016-02-01,-5.46510724880792
2016-03-01,5.77053252804594
2016-04-01,0.478124038858862
2016-05-01,-1.203381340787
2016-06-01,-2.29868869902667
2016-07-01,0.212694395951101
2016-08-01,3.30958385674879
2016-09-01,0.714411685535106
2016-10-01,0.718560298852264
2016-11-01,-1.00807988995001
2016-12-01,5.64511656282931
2017-01-01,2.78912814589914
2017-02-01,0.225009221689412
