DATE,SPASTT01INM657N
2015-02-01,2.37946749310992
2015-03-01,-1.23973881177185
2015-04-01,-1.44950911003059
2015-05-01,-2.70415823081622
2015-06-01,-0.981035693761574
2015-07-01,3.23429833133612
2015-08-01,-2.2442496323477
2015-09-01,-6.07061196500802
2015-10-01,4.91395104475105
2015-11-01,-3.67958222035475
2015-12-01,-1.26676599219937
2016-01-01,-3.5080220821062
2016-02-01,-4.35021719590755
2016-03-01,4.90605066636271
2016-04-01,2.52108009268239
2016-05-01,0.850690192236441
2016-06-01,3.98556999792556
2016-07-01,3.62923796295568
2016-08-01,1.17685385905059
2016-09-01,1.72739870675346
2016-10-01,-1.70968153974857
2016-11-01,-4.59569488084754
2016-12-01,-1.30873947428886
2017-01-01,3.09859389912308
2017-02-01,4.74091324348698
