DATE,SPASTT01ZAM657N
2015-03-01,-0.216672830684325
2015-04-01,2.32758421810957
2015-05-01,0.318147763286149
2015-06-01,-3.56270841544272
2015-07-01,-0.137859070589505
2015-08-01,-2.37420640407969
2015-09-01,-1.49284985606469
2015-10-01,6.153984375188
2015-11-01,-0.834679061725654
2015-12-01,-4.96131725187699
2016-01-01,-3.59816264205899
2016-02-01,1.77697505439593
2016-03-01,6.83077536620655
2016-04-01,0.415855164215476
2016-05-01,0.164739029570938
2016-06-01,0.299236849065248
2016-07-01,-0.281472429900588
2016-08-01,0.37134983020828
2016-09-01,-0.790900721106437
2016-10-01,-1.85647507801098
2016-11-01,-1.88635936571765
2016-12-01,-0.841920065474082
2017-01-01,4.5530188470623
2017-02-01,-0.0584041999007131
2017-03-01,-0.627647568265107
2017-04-01,2.23943868362235
