DATE,KCFSI
2015-01-01,-0.229595334645492
2015-02-01,-0.411093239308291
2015-03-01,-0.457355328674665
2015-04-01,-0.572346333420253
2015-05-01,-0.739590001283012
2015-06-01,-0.628660605617012
2015-07-01,-0.471854137709589
2015-08-01,-0.296502494771998
2015-09-01,-0.0835886266546416
2015-10-01,-0.262198000137001
2015-11-01,-0.374424409418189
2015-12-01,-0.122886548145564
2016-01-01,0.225709545969493
2016-02-01,0.454337332561184
2016-03-01,-0.0676714262419925
2016-04-01,-0.126792468681752
2016-05-01,-0.269031253605602
2016-06-01,-0.163778433693709
2016-07-01,-0.287053517779777
2016-08-01,-0.356697643479667
2016-09-01,-0.360451201149119
2016-10-01,-0.473630170964107
2016-11-01,-0.219755052039953
2016-12-01,-0.62147967667991
2017-01-01,-0.571430373517274
