DATE,SPASTT01MXM657N
2015-03-01,1.7567895433651
2015-04-01,2.98548172447311
2015-05-01,-0.0305953223151612
2015-06-01,-0.255239079939139
2015-07-01,-0.0474617225663893
2015-08-01,-2.44938523489215
2015-09-01,-1.89212319962521
2015-10-01,3.00913411020517
2015-11-01,0.573898311523744
2015-12-01,-3.24589198961866
2016-01-01,-3.5881909088226
2016-02-01,4.07908853097712
2016-03-01,4.4835021710016
2016-04-01,0.712709953535883
2016-05-01,0.25042871529783
2016-06-01,-0.225962183330772
2016-07-01,2.42419295147475
2016-08-01,2.50872650492336
2016-09-01,-1.36978205955171
2016-10-01,2.01147776793322
2016-11-01,-4.58605836922744
2016-12-01,-0.601116443308143
2017-01-01,2.23861569244697
2017-02-01,1.41672858436906
2017-03-01,1.86883899378289
2017-04-01,2.29838024717848
