DATE,SPASTT01AUM657N
2012-09-01,0.981013090595341
2012-10-01,3.03686098461377
2012-11-01,-1.36756938056536
2012-12-01,3.60363612978054
2013-01-01,3.74875716975564
2013-02-01,4.9390431688945
2013-03-01,0.784120421179648
2013-04-01,-0.782168348115237
2013-05-01,2.3452774855242
2013-06-01,-6.64173447370881
2013-07-01,3.46049219760267
2013-08-01,3.30251111057145
2013-09-01,2.4374341870044
2013-10-01,1.10709025057556
2013-11-01,1.52385311903579
2013-12-01,-2.77001884749329
2014-01-01,1.228448073503
2014-02-01,0.579303295174367
2014-03-01,1.19426092272112
2014-04-01,1.38166260382834
2014-05-01,0.436556332405806
2014-06-01,-0.635175015146479
2014-07-01,1.60438404189339
2014-08-01,0.791080900261152
2014-09-01,-1.60849742420708
2014-10-01,-2.77457457271191
2014-11-01,1.89642325657236
2014-12-01,-2.13241250433433
2015-01-01,2.08949983526726
